id,refseq,gene,chrom,start,end
NP_056473,NP_056473,NOC2L,1,879584,894689
NP_005092,NP_005092,ISG15,1,948803,949920
NP_940978,NP_940978,AGRN,1,955503,991496
NP_057260,NP_057260,SDF4,1,1152288,1167411
NP_073745,NP_073745,VWA1,1,1370241,1378262
NP_114127,NP_114127,ATAD3B,1,1407143,1433228
NP_001164006,NP_001164006,ATAD3A,1,1447531,1470067
NP_002065,NP_002065,GNB1,1,1716729,1822495
NP_008964,NP_008964,RER1,1,2323267,2336883
NP_060686,NP_060686,PANK4,1,2439972,2458039
NP_065761,NP_065761,LRRC47,1,3696784,3713068
NP_056372,NP_056372,CHD5,1,6161853,6240183
NP_000974,NP_000974,RPL22,1,6241329,6269449
NP_863656,NP_863656,ACOT7,1,6324329,6454451
NP_078930,NP_078930,NOL9,1,6581407,6614595
NP_060668,NP_060668,DNAJC11,1,6694228,6761984
NP_001116849,NP_001116849,PARK7,1,8014351,8045565
NP_001419,NP_001419,ENO1,1,8921061,8939308
NP_004276,NP_004276,H6PD,1,9294834,9331396
NP_115744,NP_115744,LZIC,1,9982173,10003465
NP_002622,NP_002622,PGD,1,10458649,10480201
NP_004392,NP_004392,DFFA,1,10516579,10532583
NP_004556,NP_004556,PEX14,1,10532345,10690815
NP_031401,NP_031401,TARDBP,1,11072414,11085796
NP_003123,NP_003123,SRM,1,11114641,11120081
NP_001001998,NP_001001998,EXOSC10,1,11126675,11159938
NP_000293,NP_000293,PLOD1,1,11994262,12035595
NP_055689,NP_055689,MFN2,1,12040238,12073571
NP_077305,NP_077305,EFHD2,1,15736391,15756839
NP_115717,NP_115717,DDI2,1,15943995,15995539
NP_060026,NP_060026,FBLIM1,1,16083102,16113089
NP_059453,NP_059453,MFAP2,1,17300997,17307330
NP_002991,NP_002991,SDHB,1,17345217,17380665
NP_001129676,NP_001129676,RCC2,1,17733256,17766220
NP_733844,NP_733844,ALDH4A1,1,19197926,19229275
NP_065816,NP_065816,UBR4,1,19401000,19536770
NP_057267,NP_057267,MRTO4,1,19578033,19586622
NP_003680,NP_003680,AKR7A2,1,19630459,19638640
NP_001193470,NP_001193470,CAPZB,1,19665267,19812066
NP_004921,NP_004921,CAPZB,1,19665267,19812066
NP_001193469,NP_001193469,CAPZB,1,19665267,19812066
NP_005207,NP_005207,DDOST,1,20978270,20988000
NP_057371,NP_057371,HP1BP3,1,21069154,21113816
NP_000469,NP_000469,ALPL,1,21835858,21904905
NP_115612,NP_115612,USP48,1,22004791,22110099
NP_005520,NP_005520,HSPG2,1,22148738,22263790
NP_426359,NP_426359,CDC42,1,22379120,22419437
NP_001782,NP_001782,CDC42,1,22379120,22419437
NP_057075,NP_057075,C1QA,1,22962999,22966101
NP_758957,NP_758957,C1QC,1,22970123,22974603
NP_000482,NP_000482,C1QB,1,22979255,22988031
